label,op,rounds,median_ms,min_ms,max_ms,stddev_ms,result
local,_harness_noop,5,1.677,1.521,1.842,0.125,
local,stat_root,5,4.949,4.549,5.168,0.262,ok
local,readdir_root,5,3.287,3.151,3.366,0.084,28
local,tree_walk,5,23.515,22.831,23.678,0.414,1332
local,tree_walk_dirs,5,22.694,22.152,23.818,0.662,636
local,ls_recursive,5,47.547,47.155,49.444,1.058,ok
local,du,5,12.959,12.435,13.518,0.458,59M
local,grep_text,5,42.755,41.645,45.082,1.302,176
local,glob_md,5,22.775,22.580,23.533,0.396,359
local,random_stat,5,3.533,3.279,3.598,0.128,100
local,random_read,5,5.118,4.934,5.777,0.335,100f/3972590b
local,head_of_tree,5,6.990,6.815,7.168,0.147,3
local,write_new_small,5,10.133,8.240,10.571,0.948,50
local,write_overwrite,5,6.034,5.772,6.055,0.119,50
local,append_jsonl,5,6.744,6.472,7.565,0.437,100
local,_cleanup,5,2.947,2.750,5.543,1.190,ok
