name,local_label,redis_label,local_median_ms,redis_median_ms,ratio,local_count,redis_count,validation
tree_walk,filepath.WalkDir,client.Tree,3.040,34.122,11.224,4049,4049,counts match (4049)
find_runbook_names,local basename filter,client.Find,3.060,34.390,11.239,1000,1000,counts match (1000)
read_hot_files,os.ReadFile,client.Cat,1.411,181.695,128.770,792005,792005,counts match (792005)
head_hot_files,local head(40),client.Head(40),1.899,182.848,96.286,75690,75690,counts match (75690)
line_window_hot_files,local lines(15..35),client.Lines(15..35),1.985,201.046,101.283,49587,49587,counts match (49587)
