name,local_label,redis_label,local_median_ms,redis_median_ms,ratio,local_count,redis_count,validation
grep_literal_rare,grep,afs grep,358.301,1073.820,2.997,9,9,identical normalized output
grep_literal_common,grep,afs grep,371.387,1104.694,2.975,445,445,identical normalized output
grep_regex_escalation,grep,afs grep,216.271,7740.640,35.791,48000,48000,identical normalized output
