label,op,rounds,median_ms,min_ms,max_ms,stddev_ms,result
afs-warm,_harness_noop,5,2.450,1.989,2.946,0.399,
afs-warm,stat_root,5,5.494,4.887,6.129,0.511,ok
afs-warm,readdir_root,5,3.362,3.210,3.409,0.080,28
afs-warm,tree_walk,5,23.975,23.511,24.126,0.282,1332
afs-warm,tree_walk_dirs,5,21.729,21.471,21.914,0.173,636
afs-warm,ls_recursive,5,50.967,50.051,52.022,0.810,ok
afs-warm,du,5,15.057,14.676,15.502,0.318,51M
afs-warm,grep_text,5,39.331,37.155,116.234,34.689,176
afs-warm,glob_md,5,21.127,20.962,21.345,0.144,359
afs-warm,random_stat,5,3.622,3.556,3.658,0.045,100
afs-warm,random_read,5,5.060,4.920,13.655,3.816,100f/3972590b
afs-warm,head_of_tree,5,7.020,6.910,7.574,0.274,3
afs-warm,write_new_small,5,58530.711,48413.824,79460.729,11358.846,50
afs-warm,write_overwrite,5,3760.163,3568.966,5351.984,737.252,50
afs-warm,append_jsonl,5,3815.818,3770.493,5359.273,698.615,100
afs-warm,_cleanup,5,45.584,20.235,15339.324,6844.751,ok
