label,op,rounds,median_ms,min_ms,max_ms,stddev_ms,result
afs-cold,_harness_noop,5,1.550,1.436,1.716,0.102,
afs-cold,stat_root,5,4.654,4.554,5.393,0.346,ok
afs-cold,readdir_root,5,3.253,3.140,3.797,0.294,28
afs-cold,tree_walk,5,26.130,25.925,27.251,0.538,1332
afs-cold,tree_walk_dirs,5,21.174,21.012,21.490,0.188,636
afs-cold,ls_recursive,5,61.972,61.352,62.614,0.473,ok
afs-cold,du,5,18.600,18.461,19.208,0.305,52M
afs-cold,grep_text,5,44.518,43.472,40569.709,18121.155,176
afs-cold,glob_md,5,22.168,21.892,22.657,0.292,359
afs-cold,random_stat,5,3.705,3.571,4.022,0.193,100
afs-cold,random_read,5,9.918,6.961,13158.903,5880.659,100f/3968494b
afs-cold,head_of_tree,5,9.385,8.461,105.327,42.964,3
afs-cold,write_new_small,5,31640.664,22572.679,32223.073,4109.350,50
afs-cold,write_overwrite,5,5316.289,5278.898,5812.090,230.921,50
afs-cold,append_jsonl,5,5627.426,5503.368,6185.670,265.589,100
afs-cold,_cleanup,5,39.081,24.337,11155.240,4953.157,ok
