label,op,rounds,median_ms,min_ms,max_ms,stddev_ms,result
local,_harness_noop,5,1.769,1.629,2.123,0.204,
local,stat_root,5,5.324,5.001,5.979,0.367,ok
local,readdir_root,5,3.445,3.281,3.980,0.338,28
local,tree_walk,5,23.350,23.245,23.525,0.103,1332
local,tree_walk_dirs,5,22.959,22.787,23.525,0.298,636
local,ls_recursive,5,47.828,45.926,48.864,1.259,ok
local,du,5,12.320,12.123,12.698,0.239,59M
local,grep_text,5,42.317,41.357,44.691,1.346,176
local,glob_md,5,22.876,22.075,23.177,0.471,359
local,random_stat,5,3.494,3.449,3.773,0.131,100
local,random_read,5,5.350,5.163,5.587,0.159,100f/3972590b
local,head_of_tree,5,7.575,7.045,7.880,0.302,3
local,write_new_small,5,10.467,8.438,10.635,0.911,50
local,write_overwrite,5,5.919,5.755,6.220,0.204,50
local,append_jsonl,5,6.972,6.909,7.528,0.260,100
local,_cleanup,5,2.882,2.827,5.462,1.146,ok
