name,local_label,redis_label,local_median_ms,redis_median_ms,ratio,local_count,redis_count,validation
tree_walk,filepath.WalkDir,client.Tree,2.820,34.938,12.389,4049,4049,counts match (4049)
find_runbook_names,local basename filter,client.Find,2.855,37.475,13.126,1000,1000,counts match (1000)
read_hot_files,os.ReadFile,client.Cat,1.451,159.054,109.617,792005,792005,counts match (792005)
head_hot_files,local head(40),client.Head(40),1.955,175.267,89.651,75690,75690,counts match (75690)
line_window_hot_files,local lines(15..35),client.Lines(15..35),1.855,187.757,101.217,49587,49587,counts match (49587)
