label,op,rounds,median_ms,min_ms,max_ms,stddev_ms,result
afs-cold,_harness_noop,5,2.387,1.966,3.311,0.574,
afs-cold,stat_root,5,5.681,5.466,6.595,0.490,ok
afs-cold,readdir_root,5,3.521,3.154,3.623,0.205,28
afs-cold,tree_walk,5,25.747,24.658,26.435,0.714,1332
afs-cold,tree_walk_dirs,5,23.569,23.019,24.502,0.547,636
afs-cold,ls_recursive,5,57.135,54.347,450.530,175.011,ok
afs-cold,du,5,16.475,16.189,17.119,0.346,52M
afs-cold,grep_text,5,43.157,40.637,37678.892,16829.286,176
afs-cold,glob_md,5,23.971,23.014,24.236,0.470,359
afs-cold,random_stat,5,4.200,3.703,5.054,0.528,100
afs-cold,random_read,5,9.234,6.823,8654.430,3866.360,100f/3972590b
afs-cold,head_of_tree,5,10.666,8.863,161.766,67.798,3
afs-cold,write_new_small,5,69808.631,51295.473,70657.374,8385.371,50
afs-cold,write_overwrite,5,5253.277,5165.404,7074.366,823.137,50
afs-cold,append_jsonl,5,5583.826,5439.417,7272.432,779.112,100
afs-cold,_cleanup,5,54.639,23.530,23058.751,10278.670,ok
