name,local_label,redis_label,local_median_ms,redis_median_ms,ratio,local_count,redis_count,validation
tree_walk,filepath.WalkDir,client.Tree,2.900,41.680,14.372,4049,4049,counts match (4049)
find_runbook_names,local basename filter,client.Find,3.052,39.575,12.967,1000,1000,counts match (1000)
read_hot_files,os.ReadFile,client.Cat,1.424,165.619,116.305,792005,792005,counts match (792005)
head_hot_files,local head(40),client.Head(40),1.939,163.290,84.214,75690,75690,counts match (75690)
line_window_hot_files,local lines(15..35),client.Lines(15..35),1.735,166.181,95.782,49587,49587,counts match (49587)
